117	96	102	81	132	111		2
188	96	173	81	203	111		2
304	96	289	81	319	111		2
400	96	385	81	415	111		2
516	96	501	81	531	111		2
582	96	567	81	597	111		2						
117	131	102	116	132	146		2
188	131	173	116	203	146		2
304	131	289	116	319	146		2
400	131	385	116	415	146		2
516	131	501	116	531	146		2
582	131	567	116	597	146		2
117	166	102	151	132	181		2
188	166	173	151	203	181		2
304	166	289	151	319	181		2
400	166	385	151	415	181		2
516	166	501	151	531	181		2
582	166	567	151	597	181		2
117	201	102	186	132	216		2
188	201	173	186	203	216		2
304	201	289	186	319	216		2
400	201	385	186	415	216		2
516	201	501	186	531	216		2
582	201	567	186	597	216		2
117	236	102	221	132	251		2
188	236	173	221	203	251		2
304	236	289	221	319	251		2
400	236	385	221	415	251		2
516	236	501	221	531	251		2
582	236	567	221	597	251		2											
117	464	102	449	132	479		2
188	464	173	449	203	479		2
304	464	289	449	319	479		2
400	464	385	449	415	479		2
516	464	501	449	531	479		2
582	464	567	449	597	479		2				
117	499	102	484	132	514		2
188	499	173	484	203	514		2
304	499	289	484	319	514		2
400	499	385	484	415	514		2
516	499	501	484	531	514		2
582	499	567	484	597	514		2
117	534	102	519	132	549		2
188	534	173	519	203	549		2
304	534	289	519	319	549		2
400	534	385	519	415	549		2
516	534	501	519	531	549		2
582	534	567	519	597	549		2
117	569	102	554	132	584		2
188	569	173	554	203	584		2
304	569	289	554	319	584		2
400	569	385	554	415	584		2
516	569	501	554	531	584		2
582	569	567	554	597	584		2
117	604	102	589	132	619		2
188	604	173	589	203	619		2
304	604	289	589	319	619		2
400	604	385	589	415	619		2
516	604	501	589	531	619		2
582	604	567	589	597	619		2
70	335	55	320	85	350		1
105	335	90	320	120	350		1
70	370	55	355	85	385		1
105	370	90	355	120	385		1
630	335	615	320	645	350		1
595	335	580	320	610	350		1
630	370	615	355	645	385		1
595	370	580	355	610	385		1
350	350	335	335	365	365		3
335	350	320	335	350	365		3
320	350	305	335	335	365		3
365	350	350	335	380	365		3
380	350	365	335	395	365		3
395	350	380	335	410	365		3
305	350	290	335	320	365		3
350	365	335	350	365	380		3
335	365	320	350	350	380		3
320	365	305	350	335	380		3
365	365	350	350	380	380		3
380	365	365	350	395	380		3
350	335	335	320	365	350		3
335	335	320	320	350	350		3
320	335	305	320	335	350		3
365	335	350	320	380	350		3
380	335	365	320	395	350		3
335	236	320	221	350	251	1
368	236	353	221	383	251	1
